Bowler Name,Rank,PC1 Score,Bowler Name,Rank,PC1 Score
SP Narine,1,2.92,AD Mathews,43,0.29
SL Malinga,2,2.4,Pankaj Singh,44,0.28
M Morkel,3,2.27,RP Singh,45,0.19
DW Steyn,4,2.14,J Botha,46,0.15
L Balaji,5,1.84,V Pratap Singh,47,0.08
M Muralitharan,6,1.71,KP Appanna,48,0.02
BW Hilfenhaus,7,1.59,Harmeet Singh,49,0.01
Shakib Al Hasan,8,1.54,RE van der Merwe,50,0.01
UT Yadav,9,1.42,DT Christian,51,-0.03
AB McDonald,10,1.36,B Kumar,52,-0.04
P Awana,11,1.25,R Sharma,53,-0.05
AD Mascarenhas,12,1.22,STR Binny,54,-0.05
KA Pollard,13,1.15,A Nehra,55,-0.12
K Cooper,14,1.12,A Singh,56,-0.18
Z Khan,15,1.07,MJ Clarke,57,-0.23
PP Chawla,16,1.07,S Nadeem,58,-0.28
RJ Harris,17,1.04,SB Jakati,59,-0.28
R Vinay Kumar,18,1.04,Iqbal Abdulla,60,-0.29
A Chandila,19,1.03,VR Aaron,61,-0.31
AB Dinda,20,1.02,HV Patel,62,-0.33
Azhar Mahmood,21,0.97,AA Chavan,63,-0.35
MM Patel,22,0.96,AC Thomas,64,-0.61
JH Kallis,23,0.92,Ankit Sharma,65,-0.65
RA Jadeja,24,0.83,B Lee,66,-0.66
R Ashwin,25,0.81,P Kumar,67,-0.68
P Negi,26,0.73,DL Vettori,68,-0.9
GB Hogg,27,0.72,Anand Rajan,69,-0.94
SK Trivedi,28,0.67,DR Smith,70,-1.23
R Bhatia,29,0.63,M de Lange,71,-1.3
PP Ojha,30,0.62,AB Agarkar,72,-1.39
DJ Bravo,31,0.58,IK Pathan,73,-1.42
A Ashish Reddy,32,0.57,SK Raina,74,-1.55
JA Morkel,33,0.54,SC Ganguly,75,-1.64
A Mishra,34,0.52,Harbhajan Singh,76,-1.86
SW Tait,35,0.51,YK Pathan,77,-2.02
WD Parnell,36,0.51,M Kartik,78,-2.17
JEC Franklin,37,0.44,BA Bhatt,79,-2.48
DE Bollinger,38,0.44,MS Gony,80,-2.5
KMDN Kulasekara,39,0.43,JP Duminy,81,-4.49
MN Samuels,40,0.35,TP Sudhindra,82,-6.25
SR Watson,41,0.33,AD Russell,83,-7.34
P Parameswaran,42,0.32,,,
