"X","DIST_NAME","AC_NAME","AC_TYPE","CAND_NAME","POSITION","CAND_SEX","CAND_CATEGORY","CAND_AGE","PARTYABBRE","TOTALVALIDVOTESPOLLED","TOTAL.VOTES.POLLED","TotalElectors","Criminal.Case","Education","Total_Assets","Liabilities_P","Recontesting","National_party_candidate","Winner_corepathi","Winner_graduate_above","Winner_filed_ITR","Cand_corepathi","Cand_graduate_above","Cand_filed_ITR","Age_category"
1,"North Goa","Mandrem","GEN","DAYANAND RAGHUNATH SOPTE","1","M","GEN",53,"INC",16490,28071,31369,0,"Graduate",35131000,4550987,0,1,1,1,1,1,1,1,"Between_46_55"
2,"North Goa","Mandrem","GEN","LAXMIKANT PARSEKAR","2","M","GEN",60,"BJP",9371,28071,31369,0,"Post Graduate",89813996,2910108,1,1,0,0,0,1,1,1,"Above_55"
3,"North Goa","Mandrem","GEN","SHRIDHAR LADU MANJREKAR","3","M","GEN",69,"MAG",678,28071,31369,0,"10th Pass",27517393,6669749,0,0,0,0,0,1,0,1,"Above_55"
4,"North Goa","Mandrem","GEN","DEVENDRA KRISHNAJI PRABHU PARSEKAR DESAI","4","M","GEN",53,"AAP",620,28071,31369,2,"Graduate",9895320,215000,0,1,0,0,0,0,1,1,"Between_46_55"
8,"North Goa","Pernem","SC","AJGAONKAR MANOHAR TRIMBAK","1","M","SC",63,"MAG",15745,27821,31360,0,"10th Pass",1535342,0,0,0,0,0,0,0,0,0,"Above_55"
9,"North Goa","Pernem","SC","RAJENDRA ARLEKAR","2","M","SC",62,"BJP",9715,27821,31360,0,"Graduate",25660021,11709338,1,1,0,0,0,1,1,1,"Above_55"
10,"North Goa","Pernem","SC","VIKESH RAMESH ASSOTIKAR","3","M","SC",43,"INC",1013,27821,31360,0,"Others",50874189,7453460,0,1,0,0,0,1,0,1,"Between_36_45"
11,"North Goa","Pernem","SC","SHIVANAND KRISHNA PILARNKAR","5","M","SC",40,"AAP",308,27821,31360,0,"10th Pass",338392,300000,0,1,0,0,0,0,0,1,"Between_36_45"
16,"North Goa","Bicholim","GEN","RAJESH PATNEKAR","1","M","GEN",53,"BJP",10654,23352,25958,0,"12th Pass",12481499,512780,0,1,1,0,1,1,0,1,"Between_46_55"
17,"North Goa","Bicholim","GEN","NARESH SAWAL","2","M","GEN",51,"MAG",9988,23352,25958,0,"12th Pass",60936966,44893363,1,0,0,0,0,1,0,1,"Between_46_55"
18,"North Goa","Bicholim","GEN","MANOHAR PANDURANG SHIRODKAR","3","M","GEN",50,"INC",1761,23352,25958,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_46_55"
19,"North Goa","Bicholim","GEN","SAINATH PATEKAR","4","M","GEN",33,"AAP",358,23352,25958,0,"5th Pass",15401466,636656,0,1,0,0,0,1,0,1,"Below_36"
20,"North Goa","Bicholim","GEN","RAUT PANDURANG DATTARAM","5","M","GEN",70,"GoPrP",324,23352,25958,0,"10th Pass",24278777,4753476,0,0,0,0,0,1,0,1,"Above_55"
21,"North Goa","Tivim","GEN","NILKANTH RAMNATH HALARNKAR","1","M","GEN",54,"INC",11099,22630,26575,0,"10th Pass",55644345,3185996,0,1,1,0,1,1,0,1,"Between_46_55"
22,"North Goa","Tivim","GEN","KIRAN MOHAN KANDOLKAR","2","M","GEN",45,"BJP",10304,22630,26575,0,"10th Pass",93743482,41798795,1,1,0,0,0,1,0,1,"Between_36_45"
23,"North Goa","Tivim","GEN","PRADEEP AMONKAR GHADI","3","M","GEN",53,"AAP",703,22630,26575,0,"Others",57590174,1215000,0,1,0,0,0,1,0,1,"Between_46_55"
24,"North Goa","Tivim","GEN","DOUGLAS LAWRENCE SEQUEIRA","4","M","GEN",42,"NCP",275,22630,26575,0,"12th Pass",16396641,0,0,1,0,0,0,1,0,0,"Between_36_45"
25,"North Goa","Mapusa","GEN","FRANCISCO C. J. A. DE PINTO E SOUZA","1","M","GEN",62,"BJP",10957,22777,28808,0,"Graduate Professional",33514295,3268000,1,1,1,1,1,1,1,1,"Above_55"
26,"North Goa","Mapusa","GEN","VINOD FADKE","2","M","GEN",59,"MAG",4129,22777,28808,2,"Graduate",33627590,0,0,0,0,0,0,1,1,1,"Above_55"
27,"North Goa","Mapusa","GEN","VIJAY LAXMAN BHIKE","3","M","GEN",44,"INC",3013,22777,28808,0,"12th Pass",18431376,4364261,0,1,0,0,0,1,0,1,"Between_36_45"
28,"North Goa","Mapusa","GEN","SHRADDHA KHALAP","4","F","GEN",33,"AAP",2321,22777,28808,0,"Post Graduate",23720699,0,0,1,0,0,0,1,1,1,"Below_36"
29,"North Goa","Mapusa","GEN","DOMNIC ALPHONSO","5","M","GEN",62,"IND",1543,22777,28808,0,"8th Pass",8563839,3362379,0,0,0,0,0,0,0,1,"Above_55"
32,"North Goa","Siolim","GEN","VINODA DATARAMA PALIENCAR","1","M","GEN",54,"GFP",10189,23533,28171,1,"Graduate",91375788,5497513,0,0,1,1,1,1,1,1,"Between_46_55"
33,"North Goa","Siolim","GEN","DAYANAND RAYU MANDREKAR","2","M","GEN",60,"BJP",8748,23533,28171,0,"10th Pass",43200168,5509504,1,1,0,0,0,1,0,1,"Above_55"
34,"North Goa","Siolim","GEN","VISHNU MHADDU NAIK","3","M","GEN",34,"AAP",1854,23533,28171,0,"Post Graduate",609353,0,0,1,0,0,0,0,1,0,"Below_36"
35,"North Goa","Siolim","GEN","PATRICK SAVIO ALMEIDA","4","M","GEN",45,"IND",1497,23533,28171,0,"10th Pass",23667099,4990221,0,0,0,0,0,1,0,1,"Between_36_45"
36,"North Goa","Siolim","GEN","PARESH RAIKAR","5","M","GEN",60,"GSM",532,23533,28171,0,"Graduate",39426039,5037819,0,0,0,0,0,1,1,1,"Above_55"
40,"North Goa","Saligao","GEN","JAYESH VIDYADHAR SALGAONKAR","1","M","GEN",42,"GFP",9735,21051,26036,0,"12th Pass",17568247,2194642,0,0,1,0,1,1,0,1,"Between_36_45"
41,"North Goa","Saligao","GEN","DILIP PARULEKAR","2","M","GEN",52,"BJP",7598,21051,26036,1,"12th Pass",62864242,8326769,1,1,0,0,0,1,0,1,"Between_46_55"
42,"North Goa","Saligao","GEN","AGNELO NICHOLAS FERNANDES","3","M","GEN",54,"INC",1616,21051,26036,0,"Post Graduate",178767510,194070238,0,1,0,0,0,1,1,1,"Between_46_55"
43,"North Goa","Saligao","GEN","DATTATRAYA VITTAL PADGAONKAR","4","M","GEN",56,"AAP",1330,21051,26036,0,"Graduate",18210436,0,0,1,0,0,0,1,1,1,"Above_55"
44,"North Goa","Saligao","GEN","RAJESH DABHOLKAR","5","M","GEN",45,"SHS",428,21051,26036,0,"10th Pass",4008500,0,0,0,0,0,0,0,0,1,"Between_36_45"
46,"North Goa","Calangute","GEN","MICHAEL VINCENT LOBO","1","M","GEN",40,"BJP",11136,20117,24541,2,"12th Pass",545981558,100971703,1,1,1,0,1,1,0,1,"Between_36_45"
47,"North Goa","Calangute","GEN","JOSEPH ROBERT SEQUEIRA","2","M","GEN",56,"INC",7311,20117,24541,2,"12th Pass",122262050,6517005,0,1,0,0,0,1,0,1,"Above_55"
48,"North Goa","Calangute","GEN","GODWIN FERNANDES","3","M","GEN",34,"AAP",1465,20117,24541,0,"Others",455000,0,0,1,0,0,0,0,0,1,"Below_36"
49,"North Goa","Porvorim","GEN","ROHAN KHAUNTE","1","M","GEN",42,"IND",11174,19699,24346,0,"Others",93403413,13529479,1,0,1,0,1,1,0,1,"Between_36_45"
50,"North Goa","Porvorim","GEN","GURUPRASAD R. PAWASKAR","2","M","GEN",43,"BJP",6961,19699,24346,0,"Others",57789669,6241777,0,1,0,0,0,1,0,1,"Between_36_45"
51,"North Goa","Porvorim","GEN","RAJESH VALVAIKAR","3","M","GEN",45,"AAP",846,19699,24346,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_36_45"
52,"North Goa","Porvorim","GEN","RAJESH VISHNU SINAI AMONKAR ALIAS RAJESH AMONKAR","4","M","GEN",46,"MAG",222,19699,24346,0,"Graduate",54407661,5950650,0,0,0,0,0,1,1,1,"Between_46_55"
55,"North Goa","Aldona","GEN","GLENN SOUZA TICLO","1","M","GEN",54,"BJP",9405,21649,27439,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_46_55"
56,"North Goa","Aldona","GEN","AMARNATH PANJIKAR","2","M","GEN",49,"INC",4949,21649,27439,0,"Post Graduate",58236239,0,0,1,0,0,0,1,1,1,"Between_46_55"
57,"North Goa","Aldona","GEN","ROSY URSULA D`SOUZA","3","F","GEN",49,"AAP",3272,21649,27439,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_46_55"
58,"North Goa","Aldona","GEN","MAHESH VITHU SATELKAR","4","M","GEN",38,"MAG",3000,21649,27439,0,"10th Pass",1535342,0,0,0,0,0,0,0,0,0,"Between_36_45"
59,"North Goa","Aldona","GEN","ANANDRAO NARAYANRAO NAGVENKAR","5","M","GEN",58,"IND",643,21649,27439,0,"Graduate",13055037,0,0,0,0,0,0,1,1,1,"Above_55"
61,"North Goa","Panaji","GEN","SIDHARTH SRIPAD KUNCALIENKER","1","M","GEN",41,"BJP",7924,17403,22203,0,"Graduate Professional",37471064,5394988,0,1,1,1,1,1,1,1,"Between_36_45"
62,"North Goa","Panaji","GEN","ATANASIO J. MONSERRATE","2","M","GEN",54,"UGP",6855,17403,22203,1,"12th Pass",308118480,69221694,1,0,0,0,0,1,0,1,"Between_46_55"
63,"North Goa","Panaji","GEN","VALMIKI NAIK","3","M","GEN",40,"AAP",1944,17403,22203,0,"Post Graduate",11875780,0,0,1,0,0,0,1,1,1,"Between_36_45"
64,"North Goa","Panaji","GEN","KETAN KIRTIKUMAR PRABHU BHATIKAR","4","M","GEN",32,"GSM",323,17403,22203,0,"Post Graduate",21056006,8677738,0,0,0,0,0,1,1,1,"Below_36"
68,"North Goa","Taleigao","GEN","JENNIFER MONSERRATE","1","F","GEN",46,"INC",11534,22595,27864,1,"12th Pass",308118480,69221694,1,1,1,0,1,1,0,1,"Between_46_55"
69,"North Goa","Taleigao","GEN","DATTAPRASAD NAIK","2","M","GEN",38,"BJP",8679,22595,27864,0,"12th Pass",109406582,6845809,0,1,0,0,0,1,0,1,"Between_36_45"
70,"North Goa","Taleigao","GEN","CECILLE RODRIGUES","3","F","GEN",34,"AAP",1976,22595,27864,0,"Graduate",5148725,2318340,0,1,0,0,0,0,1,1,"Below_36"
71,"North Goa","Taleigao","GEN","VIJAY V. MORE","5","M","GEN",37,"IND",115,22595,27864,0,"10th Pass",1535342,0,0,0,0,0,0,0,0,0,"Between_36_45"
72,"North Goa","St. Cruz","GEN","ANTONIO CAETANO  FERNANDES","1","M","GEN",51,"INC",6202,22260,27711,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_46_55"
73,"North Goa","St. Cruz","GEN","HEMANT DINANATH GOLATKAR","2","M","GEN",49,"BJP",5560,22260,27711,0,"12th Pass",11498874,200000,0,1,0,0,0,1,0,1,"Between_46_55"
74,"North Goa","St. Cruz","GEN","RODOLFO LOUIS FERNANDES","3","M","GEN",55,"IND",5262,22260,27711,0,"12th Pass",383308402,15162000,0,0,0,0,0,1,0,1,"Between_46_55"
75,"North Goa","St. Cruz","GEN","PRAKASH GOPI NAIK","4","M","GEN",43,"MAG",2707,22260,27711,0,"10th Pass",9298469,2183439,0,0,0,0,0,0,0,1,"Between_36_45"
76,"North Goa","St. Cruz","GEN","JOSE VINCENT GOMES","5","M","GEN",47,"AAP",1712,22260,27711,0,"10th Pass",8210919,1810722,0,1,0,0,0,0,0,1,"Between_46_55"
81,"North Goa","St. Andre","GEN","FRANCISCO SILVEIRA","1","M","GEN",48,"INC",8087,16556,20948,0,"10th Pass",139698549,16000546,0,1,1,0,1,1,0,1,"Between_46_55"
82,"North Goa","St. Andre","GEN","RAMRAO SURYA NAIK WAGH","2","M","GEN",50,"BJP",3017,16556,20948,0,"Post Graduate",11393794,1587468,0,1,0,0,0,1,1,1,"Between_46_55"
83,"North Goa","St. Andre","GEN","JAGDISH UMAKANT BHOBE","3","M","GEN",47,"MAG",2393,16556,20948,0,"12th Pass",8408738,0,0,0,0,0,0,0,0,1,"Between_46_55"
84,"North Goa","St. Andre","GEN","DHAKU ARJUN MADKAIKAR","4","M","GEN",45,"IND",1285,16556,20948,1,"5th Pass",40483173,19412498,0,0,0,0,0,1,0,1,"Between_36_45"
85,"North Goa","St. Andre","GEN","RAMA GURUDAS KANKONKAR","5","M","GEN",31,"AAP",979,16556,20948,0,"12th Pass",972500,543700,0,1,0,0,0,0,0,0,"Below_36"
91,"North Goa","Cumbarjua","GEN","PANDURANG MADKAIKAR","1","M","ST",53,"BJP",12395,20596,25055,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_46_55"
92,"North Goa","Cumbarjua","GEN","XAVIER FIALHO","2","M","GEN",37,"INC",3961,20596,25055,0,"Graduate",42909000,12549000,0,1,0,0,0,1,1,1,"Between_36_45"
93,"North Goa","Cumbarjua","GEN","PRAKASH DATTARAM NAIK","3","M","GEN",54,"AAP",2394,20596,25055,0,"Graduate",8641924,3248509,0,1,0,0,0,0,1,1,"Between_46_55"
94,"North Goa","Cumbarjua","GEN","VISHAL SHAMBU VOLVOIKAR","4","M","GEN",43,"IND",990,20596,25055,0,"Graduate",4009780,832789,0,0,0,0,0,0,1,1,"Between_36_45"
95,"North Goa","Cumbarjua","GEN","PRASAD HARMALKAR","5","M","GEN",45,"IND",468,20596,25055,0,"10th Pass",1535342,0,0,0,0,0,0,0,0,0,"Between_36_45"
96,"North Goa","Maem","GEN","PRAVIN  ZANTYE","1","M","GEN",50,"BJP",12430,24149,27097,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_46_55"
97,"North Goa","Maem","GEN","SANTOSH KUMAR SAWANT","2","M","GEN",43,"INC",7456,24149,27097,0,"10th Pass",37743000,19800000,0,1,0,0,0,1,0,1,"Between_36_45"
98,"North Goa","Maem","GEN","ATMARAM VAMAN GAONKER","3","M","GEN",50,"GSM",2317,24149,27097,0,"Post Graduate",16729834,12425258,0,0,0,0,0,1,1,1,"Between_46_55"
99,"North Goa","Maem","GEN","SUBHASH NARSINHA KINALKAR","4","M","GEN",39,"NCP",528,24149,27097,0,"10th Pass",13197000,2304435,0,1,0,0,0,1,0,1,"Between_36_45"
100,"North Goa","Maem","GEN","AJEETSINGH VAMANRAO RANE","5","M","GEN",50,"AAP",525,24149,27097,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_46_55"
104,"North Goa","Sanquelim","GEN","DR. PRAMOD PANDURANG SAWANT","1","M","GEN",43,"BJP",10058,23745,26207,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_36_45"
105,"North Goa","Sanquelim","GEN","DHARMESH SAGLANI","2","M","GEN",41,"INC",7927,23745,26207,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_36_45"
106,"North Goa","Sanquelim","GEN","SURESH AMONKAR","3","M","GEN",65,"GSM",3831,23745,26207,0,"10th Pass",1535342,0,0,0,0,0,0,0,0,0,"Above_55"
107,"North Goa","Sanquelim","GEN","PRATAP PRABHAKAR GAUNS","4","M","GEN",53,"NCP",857,23745,26207,0,"10th Pass",16474518,0,0,1,0,0,0,1,0,1,"Between_46_55"
108,"North Goa","Sanquelim","GEN","MILIND GAUNS","5","M","GEN",41,"AAP",408,23745,26207,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Between_36_45"
111,"North Goa","Poriem","GEN","PRATAPSINGH R RANE","1","M","GEN",78,"INC",14977,27707,30694,0,"Graduate Professional",500016663,3466160,1,1,1,1,1,1,1,1,"Above_55"
112,"North Goa","Poriem","GEN","VISHWAJIT KRISHNARAO RANE","2","M","GEN",44,"BJP",10911,27707,30694,0,"Graduate",118397500,8057600,0,1,0,0,0,1,1,1,"Between_36_45"
113,"North Goa","Poriem","GEN","SUHAS GAJANAN NAIK","4","M","GEN",53,"MAG",469,27707,30694,0,"8th Pass",1951500,484257,0,0,0,0,0,0,0,0,"Between_46_55"
114,"North Goa","Poriem","GEN","SITARAM ANANT GAWAS","5","M","GEN",48,"AAP",403,27707,30694,0,"Post Graduate",3995452,1040732,0,1,0,0,0,0,1,1,"Between_46_55"
116,"North Goa","Valpoi","GEN","VISHWAJIT PRATAPSINGH RANE","1","M","GEN",45,"INC",13493,25382,28835,1,"Graduate",213105484,112994840,1,1,1,1,1,1,1,1,"Between_36_45"
117,"North Goa","Valpoi","GEN","SATYAVIJAY SUBRAI NAIK","2","M","GEN",55,"BJP",7815,25382,28835,0,"8th Pass",23245745,13636032,0,1,0,0,0,1,0,1,"Between_46_55"
118,"North Goa","Valpoi","GEN","VIJAY ATMARAM GAONKAR","3","M","GEN",41,"MAG",3246,25382,28835,0,"12th Pass",22350214,4001837,0,0,0,0,0,1,0,1,"Between_36_45"
119,"North Goa","Valpoi","GEN","ASHISH V. KANEKAR","4","M","GEN",36,"AAP",410,25382,28835,0,"Others",14054898,8732466,0,1,0,0,0,1,0,1,"Between_36_45"
120,"South Goa","Priol","GEN","GOVIND GAUDE","1","M","GEN",45,"IND",15149,26981,29568,0,"10th Pass",1535342,0,0,0,0,0,0,0,0,0,"Between_36_45"
121,"South Goa","Priol","GEN","PANDURANG ALIAS DEEPAK MADHAV DHAVALIKAR","2","M","GEN",58,"MAG",10463,26981,29568,0,"10th Pass",1535342,0,0,0,0,0,0,0,0,0,"Above_55"
122,"South Goa","Priol","GEN","DR. DATTARAM B. DESSAI","3","M","GEN",64,"AAP",456,26981,29568,0,"10th Pass",1535342,0,0,1,0,0,0,0,0,0,"Above_55"
